Orientation1,Orientation2,Picture1,Picture2,correct_response
H,H,axeH.jpg,axeH.jpg,j
H,H,batH.jpg,batH.jpg,j
H,H,bookH.jpg,bookH.jpg,j
H,H,bottleH.jpg,bottleH.jpg,j
H,H,bowlH.jpg,bowlH.jpg,j
H,H,broomH.jpg,broomH.jpg,j
V,V,brushV.jpg,brushV.jpg,j
V,V,,caterpillarV.jpg,j
V,V,crayonV.jpg,crayonV.jpg,j
V,V,clothespinV.jpg,clothespinV.jpg,j
V,V,flashV.jpg,flashV.jpg,j
V,V,fire_extinguisherV.jpg,fire_extinguisherV.jpg,j
H,V,glassH.jpg,glassV.jpg,j
H,V,guitarH.jpg,guitarV.jpg,j
H,V,ironH.jpg,ironV.jpg,j
H,V,keyH.jpg,keyV.jpg,j
H,V,nailH.jpg,nailV.jpg,j
H,V,pencilH.jpg,pencilV.jpg,j
V,H,penV.jpg,penH.jpg,j
V,H,plateV.jpg,plateH.jpg,j
V,H,saltV.jpg,saltH.jpg,j
V,H,screwV.jpg,screwH.jpg,j
V,H,scssorV.jpg,scssorH.jpg,j
V,H,tireV.jpg,tireH.jpg,j
F,F,spider.jpg,couch.jpg,f
F,F,stove.jpg,ftball.jpg,f
F,F,ladder.jpg,house.jpg,f
F,F,knife.jpg,ladder.jpg,f
F,F,tlphon.jpg,knife.jpg,f
F,F,wndmil.jpg,mitten.jpg,f
F,F,mitten.jpg,needle.jpg,f
F,F,ftball.jpg,nut.jpg,f
F,F,wrench.jpg,piano.jpg,f
F,F,sutcse.jpg,pumpkin.jpg,f
F,F,house.jpg,ring.jpg,f
F,F,watch.jpg,skirt.jpg,f
F,F,couch.jpg,spider.jpg,f
F,F,ring.jpg,stove.jpg,f
F,F,piano.jpg,sutcse.jpg,f
F,F,trmpet.jpg,tapedispenser.jpg,f
F,F,needle.jpg,tiger.jpg,f
F,F,skirt.jpg,tlphon.jpg,f
F,F,pumpkin.jpg,trmpet.jpg,f
F,F,nut.jpg,watch.jpg,f
F,F,tiger.jpg,wndmil.jpg,f
F,F,tapedispenser.jpg,wrench.jpg,f
F,F,umberella.jpg,flower.jpg,f
F,F,buggy.jpg,glass.jpg,f
