"subject_nr","task_order","PList","List","Match","Orientation","Probe","Target","response","correct","response_time","File","opensesame_codename","opensesame_version","experiment_file"
1,"none of above","ENG_Prac2.csv","ENG_LIST1.csv","Y","H","The librarian put the book back on the table.","bookH.jpg","j",1,446,"subject-1.csv","Kafkaesque Koffka","3.2.6","OrientationCrossLanguages_2018PSA_SP_1.1.0.osexp"
1,"none of above","ENG_Prac2.csv","ENG_LIST1.csv","F","F","Because the newborn cub was on display the zoo was more crowded than usual.","skirt.jpg","j",0,276,"subject-1.csv","Kafkaesque Koffka","3.2.6","OrientationCrossLanguages_2018PSA_SP_1.1.0.osexp"
1,"none of above","ENG_Prac2.csv","ENG_LIST1.csv","Y","V","Mick set his guitar on the rack as he warmed up for the concert.","guitarV.jpg","j",1,286,"subject-1.csv","Kafkaesque Koffka","3.2.6","OrientationCrossLanguages_2018PSA_SP_1.1.0.osexp"
1,"none of above","ENG_Prac2.csv","ENG_LIST1.csv","F","F","Susan wished that her parents had a swimming pool in their back yard.","pumpkin.jpg","j",0,344,"subject-1.csv","Kafkaesque Koffka","3.2.6","OrientationCrossLanguages_2018PSA_SP_1.1.0.osexp"
1,"none of above","ENG_Prac2.csv","ENG_LIST1.csv","F","F","The doctor turned the faucet to wash his hands.","spider.jpg","j",0,309,"subject-1.csv","Kafkaesque Koffka","3.2.6","OrientationCrossLanguages_2018PSA_SP_1.1.0.osexp"
1,"none of above","ENG_Prac2.csv","ENG_LIST1.csv","N","H","The teenager placed her brush in the bottom of her bag, looking forward to the party.","brushV.jpg","j",1,301,"subject-1.csv","Kafkaesque Koffka","3.2.6","OrientationCrossLanguages_2018PSA_SP_1.1.0.osexp"
1,"none of above","ENG_Prac2.csv","ENG_LIST1.csv","Y","V","The lab assistant put the key to the monkey cage on the hook.","keyV.jpg","j",1,224,"subject-1.csv","Kafkaesque Koffka","3.2.6","OrientationCrossLanguages_2018PSA_SP_1.1.0.osexp"
1,"none of above","ENG_Prac2.csv","ENG_LIST1.csv","F","F","The elderly man took his hat off and sat down in the chair.","buggy.jpg","j",0,505,"subject-1.csv","Kafkaesque Koffka","3.2.6","OrientationCrossLanguages_2018PSA_SP_1.1.0.osexp"
1,"none of above","ENG_Prac2.csv","ENG_LIST1.csv","F","F","Tim saw the elephant pulling down a tree with his trunk.","wndmil.jpg","j",0,394,"subject-1.csv","Kafkaesque Koffka","3.2.6","OrientationCrossLanguages_2018PSA_SP_1.1.0.osexp"
1,"none of above","ENG_Prac2.csv","ENG_LIST1.csv","F","F","The ant walked towards the pot of honey and tried to climb in.","sutcse.jpg","j",0,345,"subject-1.csv","Kafkaesque Koffka","3.2.6","OrientationCrossLanguages_2018PSA_SP_1.1.0.osexp"
1,"none of above","ENG_Prac2.csv","ENG_LIST1.csv","F","F","Duff played his bagpipe at odd hours causing his neighbors to complain.","knife.jpg","j",0,1018,"subject-1.csv","Kafkaesque Koffka","3.2.6","OrientationCrossLanguages_2018PSA_SP_1.1.0.osexp"
1,"none of above","ENG_Prac2.csv","ENG_LIST1.csv","Y","H","Janie grabbed the broom and rode it around the house, pretending it was her horse.","broomH.jpg","j",1,575,"subject-1.csv","Kafkaesque Koffka","3.2.6","OrientationCrossLanguages_2018PSA_SP_1.1.0.osexp"
1,"none of above","ENG_Prac2.csv","ENG_LIST1.csv","Y","H","Derek swung his bat as the ball approached.","batH.jpg","j",1,439,"subject-1.csv","Kafkaesque Koffka","3.2.6","OrientationCrossLanguages_2018PSA_SP_1.1.0.osexp"
1,"none of above","ENG_Prac2.csv","ENG_LIST1.csv","F","F","Harry gave his girlfriend a beautiful ring, hoping she would say yes.","house.jpg","j",0,470,"subject-1.csv","Kafkaesque Koffka","3.2.6","OrientationCrossLanguages_2018PSA_SP_1.1.0.osexp"
1,"none of above","ENG_Prac2.csv","ENG_LIST1.csv","N","H","The race car driver fastened the fire-extinguisher under his seat.","fire_extinguisherV.jpg","j",1,443,"subject-1.csv","Kafkaesque Koffka","3.2.6","OrientationCrossLanguages_2018PSA_SP_1.1.0.osexp"
1,"none of above","ENG_Prac2.csv","ENG_LIST1.csv","N","V","Sara situated the expensive plate on its holder on the shelf.","plateH.jpg","j",1,497,"subject-1.csv","Kafkaesque Koffka","3.2.6","OrientationCrossLanguages_2018PSA_SP_1.1.0.osexp"
1,"none of above","ENG_Prac2.csv","ENG_LIST1.csv","F","F","Boris put the candle on the table when he heard his girlfriend's car on the driveway.","umberella.jpg","j",0,322,"subject-1.csv","Kafkaesque Koffka","3.2.6","OrientationCrossLanguages_2018PSA_SP_1.1.0.osexp"
1,"none of above","ENG_Prac2.csv","ENG_LIST1.csv","N","V","The accountant stuck his pen into his pocket protector.","penH.jpg","j",1,381,"subject-1.csv","Kafkaesque Koffka","3.2.6","OrientationCrossLanguages_2018PSA_SP_1.1.0.osexp"
1,"none of above","ENG_Prac2.csv","ENG_LIST1.csv","Y","H","The lumberjack left his axe sticking in the top of the stump after winning the axe toss.","axeH.jpg","j",1,302,"subject-1.csv","Kafkaesque Koffka","3.2.6","OrientationCrossLanguages_2018PSA_SP_1.1.0.osexp"
1,"none of above","ENG_Prac2.csv","ENG_LIST1.csv","F","F","Justin appeared on the balcony and immediately the fans started screaming.","wrench.jpg","j",0,349,"subject-1.csv","Kafkaesque Koffka","3.2.6","OrientationCrossLanguages_2018PSA_SP_1.1.0.osexp"
1,"none of above","ENG_Prac2.csv","ENG_LIST1.csv","F","F","The forensic investigator found the suspect's fingerprints on the shovel which was the murder weapon.","ladder.jpg","j",0,449,"subject-1.csv","Kafkaesque Koffka","3.2.6","OrientationCrossLanguages_2018PSA_SP_1.1.0.osexp"
1,"none of above","ENG_Prac2.csv","ENG_LIST1.csv","F","F","The colorful puzzle was much harder than the little boy had expected.","nut.jpg","j",0,391,"subject-1.csv","Kafkaesque Koffka","3.2.6","OrientationCrossLanguages_2018PSA_SP_1.1.0.osexp"
1,"none of above","ENG_Prac2.csv","ENG_LIST1.csv","Y","H","Jessica stuck the bottle in the wine rack, anticipating a romantic evening.","bottleH.jpg","j",1,336,"subject-1.csv","Kafkaesque Koffka","3.2.6","OrientationCrossLanguages_2018PSA_SP_1.1.0.osexp"
1,"none of above","ENG_Prac2.csv","ENG_LIST1.csv","N","V","The young husband prepared to place the spare tire onto the wheel.","tireH.jpg","j",1,287,"subject-1.csv","Kafkaesque Koffka","3.2.6","OrientationCrossLanguages_2018PSA_SP_1.1.0.osexp"
